"DRNAREA, square miles","sample","FOREST, percent","PRECIP, inches","CSL10_85, feet per mi","BSLOPCM, feet per mi","CENTROIDX, meters","CENTROIDY, meters","CONTOUR, miles","CSL1085LO, feet per mi","CSL1085UP, feet per mi","EL1200, percent","JULAVPRE, inches","JUNAVPRE, inches","JUNMAXTMP, degrees F","LAGFACTOR, dimensionless","LC11DEV, percent","LC11IMP, percent","LENGTH, miles","MAR, inches","MAYAVPRE, inches","MXSNO, inches","OUTLETX, feet","OUTLETY, feet","PRJUNAUG00, inches","SLOPERATIO, dimensionless","SSURGOA, percent","SSURGOB, percent","STORAGE, percent","ELEVMAX, feet","MINBELEV, feet","RELIEF, feet","BSLDEM30M, percent","CHANWD_RS, feet","CONTDA, square miles","EL5000, percent","EL6000, percent","ELEV, feet","ET0306MOD, inches","ET0710MOD, inches","IRRIGAT_MT, percent","LAKESNHDH, percent","LC01CRPHAY, percent","LC01DEV, percent","LC01WETLND, percent","NFSL30_30M, percent","SLOP30_30M, percent","SLOP50_30M, percent","TEMP, degrees F","WACTCH, feet","WBANKFULL, feet","BASINPERIM, miles","BASLENAH, miles","CSL1085RAW, feet per mi","FLC11DVLMH, decimal fraction","FSSURGDC78, decimal fraction","ILREG1, dimensionless","ILREG3, dimensionless","ILREG5, dimensionless","ILREG6, dimensionless","ILREG7, dimensionless","RELRELF, feet per mi","SOILPERM, inches per hour","URBTHE2010, dimensionless","WATWET, percent"
"103.88","data/ChicagoRiparian_doi.org_10.1371_journal.pone.0098485 - ChicagoRiparian_doi.org_10.1371_journal.pone.0098485.csv",NA,NA,"2.575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"754","602","152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.92","29.33","2.507","0.65","0.025","1","1","1","1","1","1.64","0.941","0.834","1.762"
"16.2","data/Bacon_Rind_1A|doi.org:10.1016:j.watres.2018.10.013.csv","88.4","31.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8308","5307","3000","32.9","0","16.2","100","90","6676.5","1.79","2.01","0","0","0","0","0","16.5","50.3","20","38.73","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41.7","data/Dam2SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam2SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028.csv","75.7","35.6","63.2","658","387225.6","4695051.2","274.38","52.7","80.2","70.8","3.84","4.38","74","0.23","2.83","0.32","14.9","17","3.45","12.9","380375","4696225","11.8","0.096","8","6.27","0.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44.3","data/Dam2SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam2SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028.csv","76.1","35.6","61.2","655","386805.4","4695102.3","290.02","51.5","78.8","69.1","3.82","4.36","74.1","0.25","3.08","0.35","15.9","16.9","3.45","12.9","379765","4697275","11.8","0.0935","7.63","6.22","0.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47.7","data/Dam1SUpstream_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam1SUpstream_doi.org_10.1016_j.scitotenv.2019.02.028.csv","75.7","35.5","63.6","653","386214.3","4695264.5","311.82","49.7","73.6","65","3.8","4.32","74.2","0.29","4.3","0.64","17.8","16.9","3.44","12.9","377875","4698875","11.7","0.0974","7.31","6.21","0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48.3","data/Dam1SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam1SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028.csv","75.1","35.5","63.5","651","386128.5","4695313.3","314.51","53.1","72.9","64.2","3.8","4.31","74.2","0.28","4.84","0.83","17.9","16.8","3.43","12.9","377815","4699075","11.7","0.0976","7.24","6.22","0.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48.3","data/Dam1SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam1SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028.csv","75.2","35.5","63.5","650","386142.2","4695305.9","313.9","53.3","73.3","64.3","3.8","4.31","74.2","0.28","4.7","0.79","17.8","16.8","3.44","12.9","377845","4698965","11.7","0.0975","7.25","6.2","0.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5.6","data/Buffalo_Horn_2B_doi.org_10.1016_j.watres.2018.10.013.csv","80.2","27.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6651","3707","2944","39.4","0","5.6","50","4.9","4989.8","1.71","1.76","0","0","0","0","0","33.4","76.1","21.8","41.1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6088.2","data/Black_Butte_3A_doi.org_10.1016_j.watres.2018.10.013.csv","62.3","24.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10625","3163","7462","25.7","0","6088.2","73","39.9","5763.4","1.67","1.46","2","0","4","1","1","11.6","35.8","12.3","38.98","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8.9","data/Black_Butte_1A_doi.org_10.1016_j.watres.2018.10.013.csv","87.5","33.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10279","7043","3236","22.3","0","8.9","100","100","8036.5","1.81","1.68","0","0","0","0","2","1.1","21.1","8.5","34.04","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
